SWIMM_Trials.derivitive_graph_1()
Pathways per Point: 500
Timesteps per Pathway: 500
Best Policy: [-1590, 20, 0]

DATA
P1,P2,dP1/dObj,dP2/dObj,P1_STATUS,P2_STATUS
5,-2500,64211.8919871,3250246.51946,-1,1
5,-2400,45130.0561608,2343151.72392,-1,1
5,-2300,64211.8919871,3237257.88341,-1,1
5,-2200,56942.6211961,2904759.20857,-1,1
5,-2100,46038.7150096,2351487.31155,-1,1
5,-2000,68755.1862315,3348744.29693,-1,1
5,-1900,63303.2331383,3078374.01592,-1,1
5,-1800,61485.9154405,2943337.74942,-1,1
5,-1700,57851.280045,2945648.01776,-1,1
5,-1600,69663.8450804,3363343.8749,-1,1
5,-1500,65120.550836,3276627.88487,-1,1
5,-1400,53307.9858006,2705515.377,-1,1
5,-1300,56033.9623473,2833212.08875,-1,1
5,-1200,70572.5039293,3395040.91335,-1,1
5,-1100,53307.9858015,2634526.20339,-1,1
5,-1000,46947.3738585,2455113.50705,-1,1
5,-900,65120.550836,3172981.81388,-1,1
5,-800,66029.2096849,3217167.36998,-1,1
5,-700,51490.6681029,2575715.87721,-1,1
5,-600,87308.0322126,2650944.74334,-1,1
5,-500,57851.280045,2750922.6468,-1,1
6,-2500,63303.2331383,3146594.14047,-1,1
6,-2400,63303.2331383,3139084.15515,-1,1
6,-2300,59668.5977428,3135768.5851,-1,1
6,-2200,46947.3738585,2422358.88307,-1,1
6,-2100,56033.9623473,2831207.68854,-1,1
6,-2000,39678.1030675,2064622.97734,-1,1
6,-1900,57851.280045,2949051.29257,-1,1
6,-1800,73298.4804759,3591387.85956,-1,1
6,-1700,71481.1627781,3380615.51427,-1,1
6,-1600,59668.5977428,2950446.74767,-1,1
6,-1500,59033.7416111,2949471.42377,-1,1
6,-1400,58759.9395604,2949412.66083,-1,1
6,-1300,70572.5039293,3459866.80839,-1,1
6,-1200,67846.5273826,3447872.28627,-1,1
6,-1100,76024.4570225,3663327.38571,-1,1
6,-1000,63303.2331383,3165232.17846,-1,1
6,-900,58759.9388939,2966882.63766,-1,1
6,-800,46947.3738585,2449144.29114,-1,1
6,-700,59668.5977428,2961242.80675,-1,1
6,-600,46947.3738585,2369615.43704,-1,1
6,-500,72098.9917871,3083729.8056,-1,1
7,-2500,63303.2331383,3192117.07965,-1,1
7,-2400,58759.9388939,2865153.87571,-1,1
7,-2300,63303.2331384,3113415.96914,-1,1
7,-2200,71481.1627781,3613234.86841,-1,1
7,-2100,70572.5039293,3511073.94287,-1,1
7,-2000,58759.9388939,2842450.06674,-1,1
7,-1900,74207.1393248,3547563.30114,-1,1
7,-1800,49673.3504051,2563384.05317,-1,1
7,-1700,68755.1862315,3360394.56141,-1,1
7,-1600,60577.2565916,2985049.7003,-1,1
7,-1500,67999.4118777,2712342.54356,-1,1
7,-1400,48764.6915563,2502196.25489,-1,1
7,-1300,66029.2096849,3290851.16359,-1,1
7,-1200,49673.3504051,2609107.02052,-1,1
7,-1100,62394.5742894,3149057.47631,-1,1
7,-1000,63303.2331383,3207217.15636,-1,1
7,-900,46947.3738585,2449715.14537,-1,1
7,-800,72389.821627,3473801.84719,-1,1
7,-700,51490.6681029,2695466.52271,-1,1
7,-600,59668.5977428,2991051.37129,-1,1
7,-500,66937.8685338,3412361.69675,-1,1
8,-2500,52399.326952,2627141.67378,-1,1
8,-2400,70572.5377135,3452399.47326,-1,1
8,-2300,56942.6211961,2843523.66281,-1,1
8,-2200,59668.5977428,3055257.29968,-1,1
8,-2100,55125.3034984,2858086.02607,-1,1
8,-2000,54216.6446495,2767733.52107,-1,1
8,-1900,52399.3269518,2676840.05952,-1,1
8,-1800,65120.550836,3258630.92288,-1,1
8,-1700,63303.2331383,3068692.84757,-1,1
8,-1600,75115.7981736,3644596.25022,-1,1
8,-1500,55125.3034984,2895466.76651,-1,1
8,-1400,56033.9623473,2829513.0493,-1,1
8,-1300,49673.3504051,2568253.52159,-1,1
